URL,STATE,CATEGORY,Name of venue/attraction,Location,PHONE,WEBSITE,EMAIL,M1,M2,HS,H1,V1,OTHERINO,IMG_URL
http://www.australiaforall.com/ACT Hotel.html,ACT,ACT Hotel,YARRALUMLA,"Hyatt Hotel Canberra, Commonwealth Ave.",+61 2 6270 1234,www.canberra.park.hyatt.com,,YES,YES,NO,NO,NO,"With five-star touches throughout, Hyatt Hotel  Canberra  offers the perfect haven for relaxation. Sumptuous marble bathrooms, spacious guest  rooms  and  delightful  views  soothe  even the most   jaded  of   travellers.   Standard   room   features   include voicemail, direct dial telephones,  two  telecommunication lines and  Inter-touch   high-speed  Internet  access.   This  hotel  has seven rooms equipped for guests with disabilities.    Phone: +61 2 6270 1234 website: www.canberra.park.hyatt.com ",http://www.australiaforall.com/Images/ACT/Hyatt Canberra GIFF.gif
http://www.australiaforall.com/ACT Hotel.html,ACT,ACT Hotel,CANBERRA,Novotel Canberra 65 Northbourne Avenue,(02) 6245 5000,www.accorhotels.com.au/2796,H2796@accor.com,YES,YES,NO,NO,NO,"Awarded   Best   Superior   Accommodation   by   the  Australian Hotels    Association   in  2007,  Novotel   Canberra   is   close  to business   offices,   government  agencies,  the  main  shopping precinct and  restaurant  area.   The  coach terminal  and  airline offices are located in the hotel complex.  There  are 286  rooms, including 14 for guests with a  disability,  a  restaurant,  cocktail bar, gym, sauna and indoor swimming pool.  . Novotel Canberra is proud to be a completely non-smoking Phone: (02) 6245 5000   e-mail: H2796@accor.com website:http://www.accorhotels.com.au/2796",http://www.australiaforall.com/Images/ACT/Novotel Canberra GIFF.gif
http://www.australiaforall.com/ACT Hotel.html,ACT,ACT Hotel,"Hotel Formule 1 Canberra, Cnr Federal Hwy & Antill Street","Hotel Formule 1 Canberra, Cnr Federal Hwy & Antill Street",+61 02 6253 9020,www.accorhotels.com.au/3505,F5856-RE@accor.com.au,YES,YES,NO,NO,NO,"The Hotel Formule 1 Canberra is located on the Federal Highway at Watson which is the main highway heading into Canberra. There are 72 rooms including 4 for guests with disabilities.  We are only a 5-10 minute drive into the City Centre, Parliament House, Australian War Memorial, National Gallery and Capital Hill, the local Golf Course, racecourse and bushwalking tracks. Please note: Current Photo ID must be presented on arrival. Phone: +61 02 6253 9020   e-mail:F5856-RE@accor.com.au website:http://www.accorhotels.com.au/3505",http://www.australiaforall.com/Images/ACT/Formule 1 General GIFF.gif
http://www.australiaforall.com/ACT Hotel.html,ACT,ACT Hotel,Crowne Plaza Hotel,"1 Binara Street, Canberra, ACT 2601",1 800 899 960 or front desk : +61 2 6247 8999,www.crowneplaza.com.au/canberra,res@crowneplazacanberra.com.au,YES,YES,NO,NO,NO,"The Crowne Plaza Hotel is located in the heart of the Nation™s Capital and within minutes walk to the Central Business District and Government Buildings and  national  attractions such as the Parliament House, Questacon,  and Canberra™s main shopping fair and fine restaurants and bars.  The Crowne Plaza Hotel  has 295 rooms including 5 which are accessible to people with disabilities. Phone: 1 800 899 960 or front desk : +61 2 6247 8999 e-mail: res@crowneplazacanberra.com.au website: http://www.crowneplaza.com.au/canberra",http://www.australiaforall.com/Images/ACT/Crowne Plaza Canberra - GIFF.gif
http://www.australiaforall.com/ACT Hotel.html,ACT,ACT Hotel,Realm Hotel,"18 National Circuit, Barton, ACT 2600",02 6163 1800,www.hotelrealm.com.au,reservations@hotelrealm.com.au,YES,YES,NO,NO,NO,"The Hotel Realm is ideally located close to Canberra™s city centre and a bevy of the nation™s most revered cultural icons such as the National Gallery of Australia, the National Portrait Gallery, Old Parliament House, and the stately Lake Burley Griffin. It is a short walk to the many cosmopolitan shopping, eating and entertainment options of Manuka and Kingston and close to all the drama of Parliament House   The Hotel Realm has 158 hotel and suite style rooms including 6 which are accessible to guests with mobility aids Phone: 02 6163 1800 e-mail: reservations@hotelrealm.com.au website: http://www.hotelrealm.com.au",http://www.australiaforall.com/Images/ACT/Realm Hotel GIFF.gif
http://www.australiaforall.com/ACT Bed and  Breakfast.html,ACT,ACT Bed and  Breakfast,MURRUMBATEMAN,MURRUMBATEMAN,02 6227 0344,www.schonegg.com.au,info@schonegg.com.au,YES,YES,NO,NO,NO,"Set on 8 rural hectares, Country Guesthouse Schonegg offers open spaces, panoramic views and country tranquility. Schonegg offers quality accommodation in the heart of the Murrumbateman wine district in New South Wales.  Country Guesthouse Schonegg is the perfect location for a short break or holiday. Country Guesthouse SchÃ¶negg, a  has 1 wheelchair accessible room and a restaurant  all on  ground floor level/. Phone: 02 6227 0344 e-mail: info@schonegg.com.au website: www.schonegg.com.au",http://www.australiaforall.com/Images/ACT/Country Guesthouse Schonegg  GIFF.gif
http://www.australiaforall.com/ACT Venues.html,ACT,ACT Venues,Australian National Botanic Gardens,Australian National Botanic Gardens,(02) 6250 9540,www.anbg.gov.au/anbg,,YES,YES,NO,NO,NO,"Starting at the footbridge at the northern end of the car park, the Main Path crosses the Tasmanian Rainforest Gully. The floor of the Gully is dominated by tree-ferns, with mature trees of Blackwood, Acacia  The Gully also contains examples of uniquely Tasmanian plants such as Leatherwood, and the Huon Pine. Electric scooters are available for loan free of charge.    Phone: (02) 6250 9540 website: www.anbg.gov.au/anbg",http://www.australiaforall.com/Images/ACT/Aust Nat Botanic Gdns GIFF.gif
http://www.australiaforall.com/ACT Venues.html,ACT,ACT Venues,Australian War memorial Anzac Parade Canberra 2601,Australian War memorial Anzac Parade Canberra 2601,,www.awm.gov.au,,YES,YES,NO,NO,NO,"The Australian War Memorial is a must see for everyone, despite the sobering subject matter. The exhibitions are well assembled, placing the emphasis on personal stories. A disabled set-down area is available near the Memorial's main entrance and adjacent to some 20 marked disabled parking bays. The set-down area and car park are both sealed and level.",http://www.australiaforall.com/Images/ACT/War Memorial.gif
http://www.australiaforall.com/ACT Venues.html,ACT,ACT Venues,Cockington Green Gardens,Gold Creek Village,,www.cockingtongreen.com.au,,YES,YES,NO,YES,NO,"The main displays are featured in two sections. The Original Display Area and the International Display.  Incorporated within the park are the Miniature Train displays and for something a little different, visit the dolls houses in the Rose Room Indoor Display .  Wheelchair hire is available. The licensed cafe offers self serve style catering for light lunches and morning and afternoon tea.",http://www.australiaforall.com/Images/ACT/National Museum GIFF.gif
http://www.australiaforall.com/ACT Restaurants.html,ACT,ACT Restaurants,Konoba Restaurant,"Hotel Realm, 18 National Circuit, Barton",+61 2 6163 1818,www.hotelrealm.com.au/dining/konoba,,YES,YES,NO,NO,NO,"Situated in the new and iconic Barton&rsquo;s Hotel Realm, The Konoba restaurant delivers fine Mediterranean fare for tourists and locals alike. With an ample outdoor area softening the imposing mass of the Hotel Realm, Konoba&rsquo;s wide glass doors beckon invitingly.  The Konoba Restaurant is fully wheelchair accessible from within the hotel. This includes an accessible toilet located near the restaurant. There are elevators and ramps for wheelchairs so that all areas of the hotel are easily accessed. Phone: +61 2 6163 1818 website: www.hotelrealm.com.au/dining/konoba",http://www.australiaforall.com/Images/ACT/konoba-restaurant GIFF.gif
